Verb_Noun_Pair,Domain,Category,Tier
achieve mission,Strategic Leadership,Universal,2
achieve outcome,Strategic Leadership,Universal,2
build career,People Leadership,Universal,2
build evolution,Strategic Leadership,Universal,2
build product,Strategic Leadership,Universal,2
build relationship,People Leadership,Universal,2
build solution,Strategic Leadership,Universal,2
build system,Strategic Leadership,Universal,2
build team,People Leadership,Universal,2
change way,Strategic Leadership,Universal,2
create impact,Strategic Leadership,Universal,2
create system,Strategic Leadership,Universal,2
deliver experience,Strategic Leadership,Universal,2
deliver outcome,Strategic Leadership,Universal,2
deliver solution,Strategic Leadership,Universal,2
democratize datum,Strategic Leadership,Universal,2
deploy they,Strategic Leadership,Universal,2
develop strategy,Strategic Leadership,Universal,2
develop team,People Leadership,Universal,2
drive adoption,Strategic Leadership,Universal,2
drive alignment,Strategic Leadership,Universal,2
drive execution,Strategic Leadership,Universal,2
drive growth,Strategic Leadership,Universal,2
drive impact,Strategic Leadership,Universal,2
drive initiative,Strategic Leadership,Universal,2
drive strategy,Strategic Leadership,Universal,2
empower billion,People Leadership,Universal,2
execute strategy,Strategic Leadership,Universal,2
find benefit,Strategic Leadership,Universal,2
find community,People Leadership,Universal,2
form spectrum,Strategic Leadership,Universal,2
foster culture,People Leadership,Universal,2
grow business,Strategic Leadership,Universal,2
grow team,People Leadership,Universal,2
guide team,People Leadership,Universal,2
identify gap,Strategic Leadership,Universal,2
identify opportunity,Strategic Leadership,Universal,2
influence stakeholder,People Leadership,Universal,2
inform decision,Strategic Leadership,Universal,2
lead initiative,Strategic Leadership,Universal,2
lead team,People Leadership,Universal,2
manage team,People Leadership,Universal,2
meet need,Strategic Leadership,Universal,2
meet standard,Strategic Leadership,Universal,2
mentor team,People Leadership,Universal,2
own strategy,Strategic Leadership,Universal,2
play role,Strategic Leadership,Universal,2
provide feedback,People Leadership,Universal,2
provide insight,Strategic Leadership,Universal,2
push boundary,Strategic Leadership,Universal,2
resolve issue,Strategic Leadership,Universal,2
shape future,Strategic Leadership,Universal,2
shape limit,Strategic Leadership,Universal,2
solve challenge,Strategic Leadership,Universal,2
solve problem,Strategic Leadership,Universal,2
mitigate risk,Strategic Leadership,Universal,1
allocate capital,Strategic Leadership,Universal,1
optimize p&l,Strategic Leadership,Universal,1
ensure compliance,Strategic Leadership,Universal,1
ensure governance,Strategic Leadership,Universal,1
maximize roi,Strategic Leadership,Universal,1
drive profitability,Strategic Leadership,Universal,1
safeguard asset,Strategic Leadership,Universal,1
champion diversity,People Leadership,Universal,1
foster inclusion,People Leadership,Universal,1
instill culture,People Leadership,Universal,1
navigate ambiguity,Strategic Leadership,Universal,1
anticipate disruption,Strategic Leadership,Universal,1
secure funding,Strategic Leadership,Universal,1
negotiate merger,Strategic Leadership,Universal,1
divest asset,Strategic Leadership,Universal,1
benchmark performance,Strategic Leadership,Universal,1
uphold standard,Strategic Leadership,Universal,1
codify principle,People Leadership,Universal,1
succession planning,People Leadership,Universal,1
